"","regulator","regulatees","mean_edge_weight"
"559","AR","IL13",0.241989388879318
"560","AR","IL13RA1",0.275091254389559
"561","AR","IL13RA2",0.194665591915058
"562","AR","IL15",0.267203382048254
"563","AR","IL15RA",0.256935540690939
"564","AR","IL16",0.283704583465682
"565","AR","IL17B",0.239382791516056
"566","AR","IL17C",0.245642054459775
"567","AR","IL17D",0.298016022183843
"568","AR","IL17RA",0.215766304450749
"569","AR","IL17RB",0.28697293994312
"570","AR","IL17RC",0.235039439360326
"571","AR","IL17RD",0.286499471749255
"572","AR","IL17RE",0.225311195928237
"573","AR","IL17REL",0.184541012166158
"574","AR","IL18BP",0.238402121286008
"575","AR","IL18R1",0.261535156975498
"576","AR","IL18RAP",0.272623747197911
"577","AR","IL19",0.368632375219234
"578","AR","IL1A",0.161295418298506
"579","AR","IL1B",0.221630146857446
"580","AR","IL1R1",0.332867695182553
"581","AR","IL1R2",0.287431311741916
"582","AR","IL1RAP",0.24298310186997
"583","AR","IL1RAPL1",0.323093272337652
"584","AR","IL1RL1",0.36581002974727
"585","AR","IL1RL2",0.291039925654707
"586","AR","IL1RN",0.319099627546686
"587","AR","IL2",0.237993208801675
"588","AR","IL20",0.230403982974597
"589","AR","IL20RA",0.300507392105407
"590","AR","IL20RB",0.199549396183609
"591","AR","IL20RB-AS1",0.196957623348102
"592","AR","IL21-AS1",0.155891753168223
"593","AR","IL21R",0.30627781094484
"594","AR","IL21R-AS1",0.216869336804589
"595","AR","IL22",0.359304789563431
"596","AR","IL22RA1",0.167336912512242
"597","AR","IL23A",0.400460207313845
"598","AR","IL23R",0.209217902191788
"599","AR","IL24",0.221537973114269
"600","AR","IL25",0.199788578995004
"601","AR","IL26",0.321723613631175
"602","AR","IL27",0.346269426277379
"603","AR","IL27RA",0.21756686985859
"604","AR","IL2RA",0.289482543719931
"605","AR","IL2RB",0.267806665597776
"606","AR","IL31",0.185156538877065
"607","AR","IL31RA",0.22116973601094
"608","AR","IL32",0.33465010859098
"609","AR","IL33",0.213328306264555
"610","AR","IL34",0.232704451435908
"611","AR","IL3RA",0.205888264073369
"612","AR","IL4",0.200138578203883
"613","AR","IL4I1",0.408251096835312
"614","AR","IL4R",0.31307924771002
"615","AR","IL5",0.218561622910182
"616","AR","IL5RA",0.232829159344351
"617","AR","IL6",0.240614146500867
"618","AR","IL6R",0.311256921981299
"619","AR","IL6R-AS1",0.505729981538995
"620","AR","IL6ST",0.250278434437257
"621","AR","IL7",0.256631145839405
"622","AR","IL7R",0.473576499347845
"623","AR","IL9",0.241975577727393
